left_entity_id,right_business_id,confidence
85151,47974,1.0
43429,38525,1.0
53349,44409,1.0
7862,42552,1.0
46080,36573,1.0
2048,46947,1.0
41752,39300,1.0
7733,38080,1.0
45086,36667,1.0
17605,36608,1.0
15335,43335,1.0
48388,43587,1.0
662,48146,1.0
63631,45556,1.0
21825,46122,1.0
42309,38846,1.0
9885,37964,1.0
39137,48887,1.0
20532,37900,1.0
92355,41199,1.0
53782,38284,1.0
84271,49098,1.0
15963,49160,1.0
49870,43363,1.0
11806,48273,1.0
19461,48378,1.0
22798,48407,1.0
22999,38847,1.0
72271,38952,1.0
46524,39590,1.0
2887,40775,1.0
30212,47731,1.0
4994,47584,1.0
81225,40122,1.0
57638,47336,1.0
50942,50716,1.0
26363,44106,1.0
46392,48661,1.0
40572,41057,1.0
34477,46888,1.0
22672,42585,1.0
60271,37427,1.0
6023,41311,1.0
19086,38258,1.0
9233,40374,1.0
74842,46565,1.0
41240,41224,1.0
82226,46535,1.0
67193,44525,1.0
61503,45918,1.0
15634,37090,1.0
56918,44552,1.0
29490,50758,1.0
46223,41186,1.0
94113,40768,1.0
59263,37123,1.0
51541,40111,1.0
88769,51007,1.0
43432,42752,1.0
78142,39908,1.0
2654,39489,1.0
16292,47030,1.0
53045,49386,1.0
94373,38217,1.0
88438,46710,1.0
54285,44876,1.0
59436,44123,1.0
64768,49935,1.0
10483,39471,1.0
44024,49735,1.0
10787,48659,1.0
50654,43481,1.0
46752,40540,1.0
60974,43908,1.0
37869,40356,1.0
58600,38777,1.0
5877,45080,1.0
85079,45298,1.0
20671,41932,1.0
47217,39679,1.0
31665,37276,1.0
8351,49311,1.0
77915,68244,1.0
72320,79289,1.0
74490,64691,1.0
84484,87726,1.0
1483,90965,1.0
58008,83995,1.0
73722,84244,1.0
28271,91250,1.0
24502,90889,1.0
60630,89957,1.0
7839,83374,1.0
73694,81141,1.0
70929,90708,1.0
13695,82433,1.0
80829,84718,1.0
28561,81490,1.0
47016,82628,1.0
2843,88951,1.0
68743,84958,1.0
15504,88398,1.0
